key,zh,en,ja,de,fr,es,ru
appearanceBackgroundImageMode,图像模式,Image mode,画像モード,Bildmodus,Mode image,Modo de imagen,Режим изображения
appearanceBackgroundImageOpacity,背景图透明度,Image opacity,画像の不透明度,Bildopazität,Opacité de l'image,Opacidad de la imagen,Непрозрачность изображения
appearanceBackgroundImageOpacityHint,控制背景图像的透明度。,Control transparency for the background image.,背景画像の透明度を制御します。,Kontrolliere die Transparenz für das Hintergrundbild.,Contrôler la transparence de l'image de fond.,Controlar la transparencia de la imagen de fondo.,Управляйте прозрачностью фонового изображения.
appearanceBackgroundImagePick,选择背景图片,Pick image,画像を選択,Bild auswählen,Choisir une image,Elegir imagen,Выбрать изображение
appearanceBackgroundTitle,背景,Background,背景,Hintergrund,Arrière-plan,Fondo,Фон
appearanceBgModeContain,等比包含,Contain fit,コンテインフィット,Fit einhalten,Ajustement contenu,Ajuste de contenido,Подгонка по размеру
appearanceBgModeCover,等比覆盖,Fill cover,フィルカバー,Fülldeckel,Remplir couverture,Cubrir relleno,Заполнить покрытие
appearanceBgModeStretch,拉伸填充,Stretch fill,ストレッチフィル,Dehnfüllung,Étirement remplissage,Estiramiento relleno,Растянуть заполнение
appearanceBgModeTile,平铺,Tile repeat,タイル繰り返し,Kachelwiederholung,Répétition en mosaïque,Repetición en mosaico,Повтор плиткой
appearanceBgModeTop,顶部对齐,Top aligned,上揃え,Oben ausgerichtet,Aligné en haut,Alineado arriba,Выравнивание по верху
appearanceBodyWeight,正文粗细,Body weight,体重,Körpergewicht,Poids du corps,Peso corporal,Вес тела
appearanceBreathingEffect,呼吸效果,Breathing effect,ブリージング効果,Atemeffekt,Effet de respiration,Efecto de respiración,Эффект дыхания
appearanceBreathingEffectHint,为当前标题和控件应用细微的节奏缩放动画。,Apply subtle rhythmic scale animation to active title and controls.,アクティブなタイトルとコントロールに微妙なリズミカルなスケールアニメーションを適用します。,Wenden Sie eine subtile rhythmische Skalierungsanimation auf den aktiven Titel und die Steuerelemente an.,Appliquer une animation d'échelle rythmique subtile au titre actif et aux contrôles.,Aplicar animación de escala rítmica sutil al título activo y a los controles.,Применить тонкую ритмическую анимацию масштаба к активному заголовку и элементам управления.
appearanceColorAccent,全局强调色,Global accent color,グローバルアクセントカラー,Globale Akzentfarbe,Couleur d'accentuation globale,Color de acento global,Глобальный акцентный цвет
appearanceColorBackground,全局背景色,Global background color,グローバル背景色,Globale Hintergrundfarbe,Couleur de fond globale,Color de fondo global,Глобальный цвет фона
appearanceColorBorder,全局边框颜色,Global border color,グローバルボーダー色,Globale Rahmenfarbe,Couleur des bordures globales,Color de borde global,Глобальный цвет границы
appearanceColorDetail,详情模块颜色,Detail module color,詳細モジュールの色,Detailmodulfarbe,Couleur du module de détails,Color del módulo de detalles,Цвет модуля деталей
appearanceColorField,字段颜色,Field item color,フィールドアイテムの色,Feldobjektfarbe,Couleur des éléments de champ,Color del elemento de campo,Цвет элемента поля
appearanceColorPlayback,播放控件颜色,Playback module color,再生モジュールの色,Wiedergabemodulfarbe,Couleur du module de lecture,Color del módulo de reproducción,Цвет модуля воспроизведения
appearanceColorsHint,颜色细节将在下一次迭代中完善。,Color details will be refined in the next iteration.,色の詳細は次回のイテレーションで調整されます。,Farbdetails werden in der nächsten Iteration verfeinert.,Les détails des couleurs seront affinés dans la prochaine itération.,Los detalles de color se refinarán en la siguiente iteración.,Цветовые детали будут уточнены в следующей итерации.
appearanceColorSidebar,侧边栏颜色,Sidebar module color,サイドバーモジュールの色,Seitenleistenmodulfarbe,Couleur du module de barre latérale,Color del módulo de la barra lateral,Цвет боковой панели модуля
appearanceColorsTitle,颜色,Colors,色,Farben,Couleurs,Colores,Цвета
appearanceCompactLayout,紧凑布局,Compact layout,コンパクトレイアウト,Kompaktes Layout,Disposition compacte,Diseño compacto,Компактная компоновка
appearanceCompactLayoutHint,减小内边距并控制高度以实现更紧密的显示。,Reduce paddings and control heights for denser display.,より密な表示のためにパディングとコントロールの高さを減らします。,Polsterungen und Steuerhöhe für eine dichtere Anzeige reduzieren.,Réduire les marges et la hauteur des contrôles pour un affichage plus dense.,Reducir rellenos y alturas de control para una visualización más densa.,Уменьшить отступы и высоту элементов управления для более плотного отображения.
appearanceCustomThemePrefix,自定义主题,Custom Theme,カスタムテーマ,Benutzerdefiniertes Thema,Thème personnalisé,Tema personalizado,Пользовательская тема
appearanceCustomThemes,自定义主题,Custom Themes,カスタムテーマ一覧,Benutzerdefinierte Themen,Thèmes personnalisés,Temas personalizados,Пользовательские темы
appearanceDetailOpacity,详情面板透明度,Detail panel opacity,詳細パネルの不透明度,Detailpanel-Transparenz,Opacité du panneau de détails,Opacidad del panel de detalles,Прозрачность панели деталей
appearanceDetailOpacityHint,设置主词详情面板的透明度。,Set transparency for the main word detail module.,メインの単語詳細モジュールの透明度を設定します。,Stellen Sie die Transparenz des Hauptdetailmoduls für Wörter ein.,Définir la transparence pour le module principal de détails des mots.,Establecer transparencia para el módulo principal de detalles de la palabra.,Установить прозрачность для основного модуля деталей слова.
appearanceEffectIntensity,效果强度,Effect intensity,エフェクト強度,Effektintensität,Intensité de l'effet,Intensidad del efecto,Интенсивность эффекта
appearanceEffectIntensityHint,控制阴影、发光和视觉深度强度。,"Control shadow, glow, and visual depth strength.",シャドウ、グロー、および視覚的な奥行きの強度を制御します。,"Steuerung von Schatten, Glanz und visueller Tiefenwirkung.","Contrôler la force des ombres, des lueurs et de la profondeur visuelle.","Controlar la sombra, el resplandor y la fuerza de la profundidad visual.","Контролировать силу тени, свечения и визуальной глубины."
appearanceEffectsTitle,视觉效果,Visual effects,ビジュアルエフェクト,Visuelle Effekte,Effets visuels,Efectos visuales,Визуальные эффекты
appearanceEnhancedBackground,增强背景,Enhanced background,強化された背景,Verbesserter Hintergrund,Arrière-plan amélioré,Fondo mejorado,Улучшенный фон
appearanceEnhancedBackgroundHint,使用更丰富的页面渐变和氛围。,Use richer page gradients and atmosphere.,より豊かなページグラデーションと雰囲気を使用します。,Verwenden Sie reichhaltigere Seitenverläufe und Atmosphäre.,Utiliser des dégradés de page plus riches et une atmosphère améliorée.,Usar degradados de página más ricos y atmósfera.,Используйте более насыщенные градиенты страниц и атмосферу.
appearanceFieldGlow,内容卡片发光,Field glow effect,場のグロー効果,Glüheffekt des Feldes,Effet de lueur sur le champ,Efecto de resplandor del campo,Эффект свечения поля
appearanceFieldGlowHint,启用字段卡片周围的柔和发光，以强调内容块。,Enable soft glow around field cards to emphasize content blocks.,フィールドカードの周りにソフトグローを有効にして、コンテンツブロックを強調しましょう。,"Aktiviere einen sanften Glanz um Feldkarten, um Inhaltsblöcke hervorzuheben.",Activer une lueur douce autour des cartes de champ pour mettre en valeur les blocs de contenu.,Activar resplandor suave alrededor de las tarjetas de campo para enfatizar los bloques de contenido.,Включить мягкое свечение вокруг карточек поля для выделения блоков контента.
appearanceFieldGradientAccent,内容卡片渐变强调,Field gradient accent,フィールドグラデーションアクセント,Farbverlauf-Akzent des Feldes,Accent en dégradé sur le champ,Acento de gradiente del campo,Градиентный акцент поля
appearanceFieldGradientAccentHint,为每个字段项应用细微的强调渐变。,Apply subtle accent gradients per field item.,フィールドアイテムごとにさりげないアクセントのグラデーションを適用しましょう。,Wende subtile Akzentfarbverläufe pro Feldelement an.,Appliquer des dégradés subtils par élément de champ.,Aplicar gradientes de acento sutiles por elemento del campo.,Применяйте тонкие градиенты акцентов для каждого элемента поля.
appearanceFieldOpacity,内容卡片透明度,Field card opacity,フィールドカード不透明度,Feldkarten-Opazität,Opacité des cartes de champ,Opacidad de la tarjeta de campo,Непрозрачность карточки поля
appearanceFieldOpacityHint,设置释义、示例和词源字段卡片的透明度。,Set transparency for meaning/example/etymology field cards.,意味・例・語源フィールドカードの透明性を設定してください。,Lege die Transparenz für Bedeutungs-/Beispiel-/Etymologie-Feldkarten fest.,Définir la transparence des cartes de champ de sens/exemple/étymologie.,Establecer la transparencia para las tarjetas de campo de significado/ejemplo/etimología.,Установите прозрачность для карточек поля значения/примера/этимологии.
appearanceFieldSectionsHint,内容分区样式将在下一轮迭代中优化。,Field section styles will be refined in the next iteration.,フィールドセクションのスタイルは次回のイテレーションで洗練されます。,Die Feldabschnitt-Stile werden in der nächsten Iteration verfeinert.,Les styles des sections de champ seront affinés dans la prochaine itération.,Los estilos de las secciones de campo se refinarán en la próxima iteración.,Стили разделов поля будут уточнены в следующей итерации.
appearanceFieldSectionsTitle,字段分区,Field Sections,フィールドセクション,Feldabschnitte,Sections de champ,Secciones de campo,Разделы поля
appearanceFlowingEffect,流动效果,Flowing effect,流動効果,Fließender Effekt,Effet fluide,Efecto fluido,Текущий эффект
appearanceFlowingEffectHint,为背景和彩虹文字动画化渐变方向。,Animate gradient direction for background and rainbow text.,背景や虹色のテキストのグラデーション方向をアニメーション化します。,Animieren Sie die Verlaufsrichtung für Hintergrund und Regenbogentext.,Animer la direction du dégradé pour l'arrière-plan et le texte arc-en-ciel.,Animar la dirección del gradiente para el fondo y el texto arcoíris.,Анимируйте направление градиента для фона и радужного текста.
appearanceFontFamily,字体,Font family,フォントファミリー,Schriftfamilie,Famille de polices,Familia de fuentes,Семейство шрифтов
appearanceFontFamilyMono,等宽字体,Monospace,モノスペース,Monospace,Monospace,Monoespaciado,Моноширинный
appearanceFontFamilyRounded,圆角字体,Rounded,丸みを帯びた,Abgerundet,Arrondi,Redondeada,Скруглённый
appearanceFontFamilySerif,衬线字体,Serif,セリフ体,Serif,Serif,Serif,С засечками
appearanceFontFamilySystem,系统字体,System,システム,System,Système,Sistema,Системный
appearanceFontScale,文字缩放,Font scale,フォントスケール,Schriftmaßstab,Échelle de la police,Escala de fuente,Масштаб шрифта
appearanceFontScaleHint,全局缩放所有文本以提升可读性。,Scale all text globally for readability.,すべてのテキストを読みやすく全体的にスケーリングしてください。,Skalieren Sie allen Text global für bessere Lesbarkeit.,Redimensionner tout le texte globalement pour la lisibilité.,Escalar todo el texto globalmente para mejorar la legibilidad.,Масштабируйте весь текст глобально для удобочитаемости.
appearanceFrostedPanels,磨砂面板,Frosted panels,すりガラスパネル,Gefrostete Panels,Panneaux givrés,Paneles esmerilados,Затенённые панели
appearanceFrostedPanelsHint,面板和卡片应使用半透明的玻璃状表面。,Use translucent glass-like surfaces for panels and cards.,パネルやカードには半透明のガラスのような表面を使いましょう。,"Verwenden Sie transluzente, glasartige Oberflächen für Panels und Karten.",Utiliser des surfaces translucides semblables au verre pour les panneaux et les cartes.,Usar superficies translúcidas tipo vidrio para paneles y tarjetas.,"Используйте полупрозрачные поверхности, похожие на стекло, для панелей и карточек."
appearanceGradientIntensity,渐变强度,Gradient intensity,勾配強度,Farbverlauf-Intensität,Intensité du dégradé,Intensidad del gradiente,Интенсивность градиента
appearanceGradientIntensityHint,控制渐变和色彩过渡的鲜明度。,Control how vivid the gradient and color transitions appear.,グラデーションや色の変化の鮮やかさをコントロールしましょう。,"Steuern Sie, wie lebendig der Verlauf und die Farbwechsel erscheinen.",Contrôler à quel point le dégradé et les transitions de couleur apparaissent vifs.,Controlar qué tan vívido aparece el gradiente y las transiciones de color.,"Контролируйте, насколько ярко выглядят градиент и цветовые переходы."
appearanceHighContrastText,高对比度文本,High contrast text,高コントラストテキスト,Hochkontrast-Text,Texte à fort contraste,Texto de alto contraste,Текст с высоким контрастом
appearanceHighContrastTextHint,使用更强的文本对比度以提升可读性。,Use stronger text contrast for better readability.,読みやすくするために、テキストのコントラストを強くしましょう。,Verwenden Sie stärkeren Textkontrast für bessere Lesbarkeit.,Utiliser un contraste de texte plus marqué pour une meilleure lisibilité.,Usar un contraste de texto más fuerte para mejorar la legibilidad.,Используйте сильный контраст текста для лучшей читаемости.
appearanceLayoutHint,布局细节将在下一轮迭代中进一步完善。,Layout details will be refined in the next iteration.,レイアウトの詳細は次の反復で精緻化されます。,Layout-Details werden in der nächsten Iteration verfeinert.,Les détails de la mise en page seront affinés lors de la prochaine itération.,Los detalles del diseño se perfeccionarán en la próxima iteración.,Детали расположения будут уточнены в следующей итерации.
appearanceLayoutTitle,布局,Layout,レイアウト,Layout,Mise en page,Diseño,Расположение
appearanceMarqueeText,滚动标题,Marquee title,マーキータイトル,Laufband-Titel,Titre défilant,Título de marquesina,Заголовок с бегущей строкой
appearanceMarqueeTextHint,长标题横向滚动显示，类似跑马灯效果。,Scroll long current-word titles horizontally like a marquee.,長い現在の単語タイトルをマーキーのように横方向にスクロールします。,Lange aktuelle Worttitel horizontal wie ein Laufband scrollen.,Faire défiler les titres longs de mots actuels horizontalement comme un défilement.,Desplaza los títulos largos de la palabra actual horizontalmente como una marquesina.,"Прокручивайте длинные заголовки текущего слова по горизонтали, как бегущую строку."
appearancePlaybackGlow,播放时发光,Playback glow effect,再生の光効果,Wiedergabe-Glüheffekt,Effet de lueur de lecture,Efecto de brillo de reproducción,Эффект свечения при воспроизведении
appearancePlaybackGlowHint,音频播放时高亮播放栏。,Highlight the active playback bar when audio is playing.,オーディオ再生中にアクティブな再生バーをハイライトします。,"Die aktive Wiedergabeleiste markieren, wenn Audio abgespielt wird.",Mettre en surbrillance la barre de lecture active lorsque l'audio est en cours de lecture.,Resalta la barra de reproducción activa cuando se está reproduciendo audio.,Подсвечивайте активную панель воспроизведения при проигрывании аудио.
appearancePlaybackOpacity,播放条透明度,Playback bar opacity,再生バーの不透明度,Wiedergabeleisten-Transparenz,Opacité de la barre de lecture,Opacidad de la barra de reproducción,Непрозрачность панели воспроизведения
appearancePlaybackOpacityHint,设置底部播放控件的透明度。,Set transparency for the bottom playback control module.,下部再生コントロールモジュールの透明度を設定します。,Transparenz für das untere Wiedergabesteuerungsmodul festlegen.,Définir la transparence pour le module de contrôle de lecture en bas.,Establece la transparencia para el módulo de control de reproducción inferior.,Установите прозрачность нижнего модуля управления воспроизведением.
appearancePreviewHint,主题和外观的更改将在保存并应用后生效。,Theme and appearance changes take effect after Save & Apply.,テーマと外観の変更は「保存して適用」後に有効になります。,Themen- und Erscheinungsänderungen werden nach Speichern & Anwenden wirksam.,Les modifications de thème et d'apparence prennent effet après Enregistrer & Appliquer.,Los cambios de tema y apariencia se aplican después de Guardar y Aplicar.,Изменения темы и внешнего вида вступают в силу после Сохранить и Применить.
appearancePreviewTitle,预览,Preview,プレビュー,Vorschau,Aperçu,Vista previa,Предпросмотр
appearanceRainbowText,彩虹文字,Rainbow text,レインボーテキスト,Regenbogen-Text,Texte arc-en-ciel,Texto arcoíris,Радужный текст
appearanceRainbowTextHint,用多色渐变文字呈现当前词标题。,Render the current-word title with multi-color gradient text.,現在の単語タイトルをマルチカラ―グラデーションテキストで描画します。,Den aktuellen Worttitel mit mehrfarbigem Farbverlauf darstellen.,Afficher le titre du mot actuel avec un texte en dégradé multicolore.,Renderiza el título de la palabra actual con texto de degradado multicolor.,Отображать заголовок текущего слова с текстом в многокрасочном градиенте.
appearanceRandomEntryColors,随机字段颜色,Random entry colors,ランダムエントリーカラー,Zufällige Eintragsfarben,Couleurs d'entrée aléatoires,Colores de entrada aleatorios,Случайные цвета записи
appearanceRandomEntryColorsHint,浏览单词时轮换内容卡片的强调色。,Cycle field-card accent colors while browsing words.,単語を閲覧中にフィールドカードのアクセントカラーを循環させます。,Farbakzente der Feldkarte beim Durchblättern von Wörtern wechseln.,Faire défiler les couleurs d'accent des cartes de champ lors de la navigation dans les mots.,Cambia los colores de acento de la tarjeta de campo mientras se navega por las palabras.,Переключать акцентные цвета карточек поля при просмотре слов.
appearanceReset,重置,Reset,リセット,Zurücksetzen,Réinitialiser,Restablecer,Сброс
appearanceSaveCustomTheme,保存为自定义主题,Save as Custom Theme,カスタムテーマとして保存,Als benutzerdefiniertes Thema speichern,Enregistrer comme Thème Personnalisé,Guardar como tema personalizado,Сохранить как Пользовательскую тему
appearanceSidebarOpacity,侧边栏透明度,Sidebar opacity,サイドバーの不透明度,Seitenleisten-Transparenz,Opacité de la barre latérale,Opacidad de la barra lateral,Непрозрачность боковой панели
