# id	category	years_before_present	display_key	title_key	detail_key	source_name	source_url
persian_empire_achaemenid	civilization	2576	inline.plan295.life.c_550_bce.95575bc7b349	inline.plan295.life.achaemenid_persian_empire_rises.aece3cccaad9	inline.plan295.life.the_persian_empire_built_cross_regio.6f1db9a86858	Britannica: Achaemenian dynasty	https://www.britannica.com/topic/Achaemenian-dynasty
athenian_democracy	civilization	2534	inline.plan295.life.c_508_bce.94cbc4af0dab	inline.plan295.life.athenian_democratic_reforms.13ce6b580206	inline.plan295.life.athenian_reforms_developed_assemblie.4d58d0aa20b3	Britannica: Athenian democracy	https://www.britannica.com/topic/Athenian-democracy
roman_republic	civilization	2535	inline.plan295.life.c_509_bce.6c389759109e	inline.plan295.life.roman_republic_begins.4667354205ee	inline.plan295.life.the_roman_republic_developed_consuls.95b7e6c01151	Britannica: Roman Republic	https://www.britannica.com/place/Roman-Republic
mauryan_empire_ashoka	civilization	2294	inline.plan295.life.c_268_bce.e0e31c5b9213	inline.plan295.life.ashoka_and_the_mauryan_empire.cb9bc7679233	inline.plan295.life.under_ashoka_the_mauryan_empire_cove.64d7a88967b5	Britannica: Ashoka	https://www.britannica.com/biography/Ashoka
han_dynasty	civilization	2232	inline.plan295.life.206_bce.539c13685b7e	inline.plan295.life.han_dynasty_begins.67b4f7f844ac	inline.plan295.life.the_han_integrated_imperial_administ.97ab88859a0c	Britannica: Han dynasty	https://www.britannica.com/topic/Han-dynasty
roman_empire_augustus	civilization	2053	inline.plan295.life.27_bce.018fa48af9ec	inline.plan295.life.augustus_and_the_roman_empire.4f1b8a13d603	inline.plan295.life.augustus_established_the_principate.65e80d7cd9c3	Britannica: Augustus	https://www.britannica.com/biography/Augustus-Roman-emperor
christianity_early_spread	civilization	1996	inline.plan295.life.c_30_ce.962b686be116	inline.plan295.life.early_christianity_forms.3baccde94367	inline.plan295.life.the_jesus_movement_and_early_churche.d6bb58dcd30e	Britannica: Christianity	https://www.britannica.com/topic/Christianity
constantinople_founded	civilization	1696	inline.plan295.life.330_ce.69a6e45e0806	inline.plan295.life.constantinople_becomes_imperial_capi.d42cdcb6ac41	inline.plan295.life.constantinople_positioned_between_eu.d9f68d5aac18	Britannica: Constantinople	https://www.britannica.com/place/Constantinople
islam_hijra	civilization	1404	inline.plan295.life.622_ce.fc5090449012	inline.plan295.life.hijra_and_the_islamic_community.d77f4472e0c2	inline.plan295.life.muhammad_s_migration_to_medina_marks.278420191f71	Britannica: Hijrah	https://www.britannica.com/event/Hijrah-Islam
tang_dynasty	civilization	1408	inline.plan295.life.618_ce.cf0ceee03fe8	inline.plan295.life.tang_dynasty_begins.6c6a81a29e0a	inline.plan295.life.the_tang_linked_east_asia_central_as.f507fd28165a	Britannica: Tang dynasty	https://www.britannica.com/topic/Tang-dynasty
carolingian_coronation	civilization	1226	inline.plan295.life.800_ce.a78476628d64	inline.plan295.life.charlemagne_crowned_emperor.e929caa43cef	inline.plan295.life.charlemagne_s_coronation_symbolized.ee22b6070d94	Britannica: Charlemagne	https://www.britannica.com/biography/Charlemagne
song_printing_commerce	civilization	1066	inline.plan295.life.960_ce.fb419755375a	inline.plan295.life.song_commerce_and_printing_expand.8be54296811a	inline.plan295.life.song_urban_commerce_paper_money_prin.16ca9af94de4	Britannica: Song dynasty	https://www.britannica.com/topic/Song-dynasty
crusades_begin	civilization	931	inline.plan295.life.1095_ce.9849e9d4774f	inline.plan295.life.crusades_begin.0f8a7ad60685	inline.plan295.life.the_crusades_reshaped_mediterranean.0f838f68d7d4	Britannica: Crusades	https://www.britannica.com/event/Crusades
mongol_empire	civilization	820	inline.plan295.life.1206_ce.b1c3b49f2ee8	inline.plan295.life.mongol_empire_forms.7a5272e30ef0	inline.plan295.life.chinggis_khan_united_mongol_groups_l.ebd2f28551e1	Britannica: Mongol empire	https://www.britannica.com/place/Mongol-empire
mali_mansa_musa	civilization	702	inline.plan295.life.1324_1325_ce.62e78094771c	inline.plan295.life.mansa_musa_s_pilgrimage.929038626fdd	inline.plan295.life.mansa_musa_s_pilgrimage_highlighted.e0739812168e	Britannica: Mansa Musa	https://www.britannica.com/biography/Musa-I-of-Mali
ming_voyages_zheng_he	civilization	621	inline.plan295.life.1405_1433_ce.21f670f9c3e2	inline.plan295.life.zheng_he_voyages.70f85ff97657	inline.plan295.life.ming_maritime_expeditions_connected.9d5b682d258a	Britannica: Zheng He	https://www.britannica.com/biography/Zheng-He
constantinople_1453	civilization	573	inline.plan295.life.1453_ce.d40f21a3b1ae	inline.plan295.life.fall_of_constantinople.bfa8b54ced54	inline.plan295.life.the_ottomans_captured_constantinople.785535181a12	Britannica: Fall of Constantinople	https://www.britannica.com/event/Fall-of-Constantinople-1453
columbus_voyage	modern	534	inline.plan295.life.1492_ce.6c42a1ba8b2e	inline.plan295.life.columbus_reaches_the_americas.3297236453f8	inline.plan295.life.atlantic_voyages_initiated_sustained.d02ebe731505	Britannica: Christopher Columbus	https://www.britannica.com/biography/Christopher-Columbus
vasco_da_gama	modern	528	inline.plan295.life.1498_ce.1c187e96edaa	inline.plan295.life.vasco_da_gama_reaches_india_by_sea.13b722261519	inline.plan295.life.the_portuguese_sea_route_connected_e.964b12e90b59	Britannica: Vasco da Gama	https://www.britannica.com/biography/Vasco-da-Gama
aztec_conquest	modern	505	inline.plan295.life.1521_ce.244ddf65a93e	inline.plan295.life.spanish_conquest_of_the_aztec_empire.5fcdf2bea2c9	inline.plan295.life.after_tenochtitlan_fell_spanish_colo.60f2a78684e9	Britannica: Aztec	https://www.britannica.com/topic/Aztec
inca_conquest	modern	493	inline.plan295.life.1533_ce.f72694baaa9b	inline.plan295.life.spanish_conquest_of_the_inca_empire.52e7f65a0502	inline.plan295.life.the_inca_imperial_core_was_conquered.ff0c857092ec	Britannica: Inca	https://www.britannica.com/topic/Inca
reformation_luther	modern	509	inline.plan295.life.1517_ce.3a3391c09bb4	inline.plan295.life.protestant_reformation_begins.fd203bcca4fa	inline.plan295.life.debates_associated_with_martin_luthe.7d228dba3ce7	Britannica: Reformation	https://www.britannica.com/event/Reformation
copernicus	science	483	inline.plan295.life.1543_ce.c05c3e413520	inline.plan295.life.copernicus_publishes_heliocentric_mo.40f2da05c926	inline.plan295.life.on_the_revolutions_proposed_a_helioc.67f428a648f5	Britannica: Copernicus	https://www.britannica.com/biography/Nicolaus-Copernicus
galileo_telescope	science	416	inline.plan295.life.1610_ce.0b3f308f7183	inline.plan295.life.galileo_s_telescopic_observations.27ad07fec839	inline.plan295.life.galileo_published_observations_of_th.deb92fa3b6b6	Britannica: Galileo	https://www.britannica.com/biography/Galileo-Galilei
westphalia	modern	378	inline.plan295.life.1648_ce.424b1ba5ca83	inline.plan295.life.peace_of_westphalia.5511a5358ca3	inline.plan295.life.the_thirty_years_war_ended_and_europ.460808c33b2e	Britannica: Peace of Westphalia	https://www.britannica.com/event/Peace-of-Westphalia
qing_dynasty	modern	382	inline.plan295.life.1644_ce.f1822f087d4e	inline.plan295.life.qing_dynasty_takes_beijing.bbf404837d19	inline.plan295.life.the_qing_established_rule_from_beiji.60d3e1fd456c	Britannica: Qing dynasty	https://www.britannica.com/topic/Qing-dynasty
slave_trade_abolition_britain	modern	219	inline.plan295.life.1807_ce.b56bba3ab80d	inline.plan295.life.britain_abolishes_the_slave_trade.df49557c0bb2	inline.plan295.life.britain_banned_the_slave_trade_a_maj.4cf40d86c6f8	Britannica: Slave Trade Act	https://www.britannica.com/event/Slave-Trade-Act
haitian_independence	modern	222	inline.plan295.life.1804_ce.54228a0e2fa6	inline.plan295.life.haitian_independence.03ba05d23a7c	inline.plan295.life.after_the_haitian_revolution_haiti_b.8a22605db418	Britannica: Haitian Revolution	https://www.britannica.com/topic/Haitian-Revolution
latin_american_independence	modern	216	inline.plan295.life.from_c_1810_ce.cec8657ef097	inline.plan295.life.latin_american_independence_movement.8cdd2407a6d7	inline.plan295.life.spanish_and_portuguese_colonial_syst.d829f2613c30	Britannica: Latin American independence	https://www.britannica.com/event/Latin-American-independence-movements
opium_war	modern	187	inline.plan295.life.1839_1842_ce.0054d86fbdce	inline.plan295.life.first_opium_war.5106b71fac4a	inline.plan295.life.after_war_with_britain_the_treaty_of.ae53ce2dd877	Britannica: Opium Wars	https://www.britannica.com/topic/Opium-Wars
meiji_restoration	modern	158	inline.plan295.life.1868_ce.7e875082fbab	inline.plan295.life.meiji_restoration.7f0f3bf63fab	inline.plan295.life.japan_reorganized_politics_military.6be8c0421008	Britannica: Meiji Restoration	https://www.britannica.com/event/Meiji-Restoration
scramble_for_africa	modern	142	inline.plan295.life.c_1884_ce.13f9817a07b2	inline.plan295.life.scramble_for_africa_and_berlin_confe.8a3cb26d34ff	inline.plan295.life.european_powers_accelerated_colonial.b75586703a34	Britannica: Berlin West Africa Conference	https://www.britannica.com/event/Berlin-West-Africa-Conference
xinhai_revolution	modern	115	inline.plan295.life.1911_ce.1b9ed3df75e5	inline.plan295.life.xinhai_revolution.86ada5ebd3fe	inline.plan295.life.the_qing_imperial_order_ended_and_th.073335c48af7	Britannica: Chinese Revolution	https://www.britannica.com/event/Chinese-Revolution-1911-1912
russian_revolution	modern	109	inline.plan295.life.1917_ce.52ed81ecc78e	inline.plan295.life.russian_revolution.44c88d2ff2f7	inline.plan295.life.the_russian_empire_collapsed_the_bol.17254cc9a6f7	Britannica: Russian Revolution	https://www.britannica.com/event/Russian-Revolution
league_of_nations	modern	106	inline.plan295.life.1920_ce.778fd3ce5951	inline.plan295.life.league_of_nations_founded.782488e304fb	inline.plan295.life.after_world_war_i_the_league_of_nati.5998e519c215	Britannica: League of Nations	https://www.britannica.com/topic/League-of-Nations
india_independence	modern	79	inline.plan295.life.1947_ce.55833e8f064f	inline.plan295.life.indian_independence_and_partition.dd4ce01da138	inline.plan295.life.british_india_ended_colonial_rule_an.3709deb9e8dc	Britannica: Partition of India	https://www.britannica.com/event/Partition-of-India
prc_founded	modern	77	inline.plan295.life.1949_ce.e2e1d51bd106	inline.plan295.life.people_s_republic_of_china_founded.473f4d4d2e89	inline.plan295.life.after_the_chinese_civil_war_the_peop.1607b34af165	Britannica: People\	https://www.britannica.com/place/China/Establishment-of-the-Peoples-Republic
european_integration	modern	69	inline.plan295.life.1957_ce.88f3349331f3	inline.plan295.life.treaty_of_rome_and_european_integrat.3a07b52e83c9	inline.plan295.life.the_european_economic_community_was.7b65e0b36b84	European Union: history	https://european-union.europa.eu/principles-countries-history/history-eu_en
ghana_independence	modern	69	inline.plan295.life.1957_ce.88f3349331f3	inline.plan295.life.ghana_independence.99f3dce5979f	inline.plan295.life.ghana_became_a_major_independent_sta.10ec2fcf1dde	Britannica: Ghana	https://www.britannica.com/place/Ghana/Independence
civil_rights_act	modern	62	inline.plan295.life.1964_ce.f07c557ada57	inline.plan295.life.u_s_civil_rights_act.ded179a3bbde	inline.plan295.life.the_u_s_civil_rights_act_banned_disc.ab35fd24ef8a	National Archives: Civil Rights Act	https://www.archives.gov/milestone-documents/civil-rights-act
green_revolution	science	61	inline.plan295.life.c_1960s.9ffd81d8d691	inline.plan295.life.green_revolution.35cf64bbc2c6	inline.plan295.life.high_yield_varieties_fertilizers_irr.81f9beb857eb	Britannica: Green Revolution	https://www.britannica.com/event/green-revolution
microprocessor	science	55	inline.plan295.life.1971_ce.6ef40c26e13f	inline.plan295.life.commercial_microprocessor_appears.5bfd4718df0b	inline.plan295.life.the_microprocessor_integrated_centra.9967d28e7094	Intel: 4004 microprocessor	https://www.intel.com/content/www/us/en/history/museum-story-of-intel-4004.html
berlin_wall_fall	modern	37	inline.plan295.life.1989_ce.e6089f4a90ae	inline.plan295.life.fall_of_the_berlin_wall.80397a965f9d	inline.plan295.life.the_opening_of_the_berlin_wall_symbo.535f197e9820	Britannica: Berlin Wall	https://www.britannica.com/topic/Berlin-Wall
soviet_union_dissolution	modern	35	inline.plan295.life.1991_ce.a2f898e25798	inline.plan295.life.dissolution_of_the_soviet_union.bf1e693e0f80	inline.plan295.life.the_soviet_union_dissolved_ending_th.219b5b9450b1	Britannica: Soviet Union	https://www.britannica.com/place/Soviet-Union
wto_founded	modern	31	inline.plan295.life.1995_ce.cf6d7deafdf5	inline.plan295.life.world_trade_organization_founded.402cde2c22ed	inline.plan295.life.the_wto_established_a_multilateral_t.95a5d5f172d3	WTO: history	https://www.wto.org/english/thewto_e/whatis_e/tif_e/fact4_e.htm
smartphone_era	modern	19	inline.plan295.life.from_c_2007_ce.4ca5dfc59dba	inline.plan295.life.smartphone_era_expands.8a018eed29e0	inline.plan295.life.multi_touch_smartphones_and_mobile_i.9647ef10672c	Britannica: smartphone	https://www.britannica.com/technology/smartphone
crispr_gene_editing	science	14	inline.plan295.life.2012_ce.70e3b2b7be75	inline.plan295.life.crispr_gene_editing_methods_develop.1f34fab69028	inline.plan295.life.crispr_cas9_became_a_major_gene_edit.d0b7d2db064e	Nobel Prize: CRISPR	https://www.nobelprize.org/prizes/chemistry/2020/summary/
paris_agreement	modern	11	inline.plan295.life.2015_ce.e659a08fed94	inline.plan295.life.paris_agreement.66c3ce92015c	inline.plan295.life.countries_adopted_an_international_c.a2e041c540be	UNFCCC: Paris Agreement	https://unfccc.int/process-and-meetings/the-paris-agreement
covid19_pandemic	modern	6	inline.plan295.life.2020_ce.161118241ccf	inline.plan295.life.covid_19_pandemic.4641786024ef	inline.plan295.life.covid_19_became_a_major_public_healt.977460ff3357	WHO: COVID-19	https://www.who.int/emergencies/diseases/novel-coronavirus-2019
