# collection	id	category	start_year	end_year	approximate	title_zh	title_en	note_zh	note_en	wikidata_search	image_id
china	baijia_thought	civilization	-500	-200	true	诸子百家	Hundred Schools of Thought	儒、墨、道、法等思想传统在这一时期形成并相互论辩	Confucian, Mohist, Daoist, Legalist, and other traditions formed and debated during this era	Hundred Schools of Thought	shang_zhou
china	nine_chapters_mathematics	science	-100	100	true	《九章算术》传统	Nine Chapters mathematical tradition	《九章算术》汇集了中国古代数学问题与算法传统	The Nine Chapters collects mathematical problems and algorithmic traditions of ancient China	Nine Chapters on the Mathematical Art	qin_han
china	qin_unification	civilization	-221	-221	false	秦统一六国	Qin unification	秦建立了覆盖大部分中国本土的中央集权帝国	Qin established a centralized empire across much of the Chinese heartland	Qin dynasty	qin_han
china	qin_standardization	civilization	-221	-210	true	秦代制度标准化	Qin standardization	文字、度量衡和行政制度的统一加强了帝国治理	Standardizing script, weights, measures, and administration strengthened imperial governance	Qin dynasty standardization	qin_han
china	qin_great_wall	civilization	-214	-214	true	秦代北方防御工程	Qin northern defensive works	秦代连接和修整北方防御工程，成为后世长城传统的一部分	Qin connected and repaired northern defenses that became part of the later Great Wall tradition	Great Wall of China Qin	qin_han
china	han_dynasty_founded	civilization	-202	-202	false	汉朝建立	Han dynasty founded	汉代继承并调整秦制，形成持续数百年的帝国秩序	The Han inherited and adapted Qin institutions into a long-lasting imperial order	Han dynasty	qin_han
china	zhang_qian_silk_road	civilization	-138	-126	true	张骞出使西域	Zhang Qian's missions west	张骞出使促进了汉与中亚地区的外交、贸易和信息交流	Zhang Qian's missions expanded Han diplomatic, commercial, and informational exchange with Central Asia	Zhang Qian	qin_han
china	paper_early_use	science	-100	100	true	早期纸张使用	Early paper use	考古纸张和文献证据显示纸作为书写材料逐步普及	Archaeological and textual evidence shows paper gradually becoming a writing material	Paper history China	qin_han
china	shiji_completed	science	-91	-91	true	《史记》成书传统	Records of the Grand Historian	司马迁的纪传体史书奠定了中国正史书写的重要范式	Sima Qian's biographical history established an important model for Chinese historiography	Records of the Grand Historian	qin_han
china	eastern_han_buddhism	civilization	65	200	true	佛教传入与传播	Transmission of Buddhism to China	佛教在东汉时期逐步进入中国并形成翻译与寺院网络	Buddhism entered China during the Eastern Han and developed translation and monastic networks	Buddhism in China	qin_han
china	zhang_heng_seismoscope	science	132	132	false	张衡地动仪	Zhang Heng's seismoscope	张衡的科学活动体现了东汉天文与工程知识的发展	Zhang Heng's work reflects the development of astronomy and engineering in the Eastern Han	Zhang Heng seismoscope	qin_han
china	yellow_turban_rebellion	modern	184	184	false	黄巾起义	Yellow Turban rebellion	黄巾起义加剧了东汉末年的政治和社会危机	The Yellow Turban rebellion intensified the political and social crisis of the late Eastern Han	Yellow Turban rebellion	qin_han
china	three_kingdoms	civilization	220	280	false	三国时期	Three Kingdoms period	魏、蜀、吴并立，区域政权与文化交流持续发展	Wei, Shu, and Wu coexisted while regional states and cultural exchange developed	Three Kingdoms China	six_dynasties
china	liu_hui_mathematics	science	263	263	true	刘徽数学注释	Liu Hui's mathematical commentary	刘徽的注释推进了中国古代几何与算法论证	Liu Hui's commentary advanced geometric and algorithmic reasoning in ancient China	Liu Hui mathematics	six_dynasties
china	jin_unification	civilization	280	280	false	西晋短暂统一	Western Jin reunification	西晋在三国之后重新统一中原，但统一局面未能长期维持	The Western Jin reunified the central regions after the Three Kingdoms, but not for long	Jin dynasty China	six_dynasties
china	sixteen_kingdoms	civilization	304	439	false	十六国时期	Sixteen Kingdoms period	北方多政权并立，人口迁徙与民族融合改变了区域格局	Multiple northern states, migration, and cultural integration reshaped the region	Sixteen Kingdoms	six_dynasties
china	northern_wei	civilization	386	534	false	北魏	Northern Wei	北魏统治推动了北方整合、都城建设与佛教艺术发展	Northern Wei rule advanced northern integration, capital building, and Buddhist art	Northern Wei	six_dynasties
china	dunhuang_caves	civilization	366	1000	true	敦煌石窟传统	Dunhuang cave tradition	敦煌石窟保存了跨区域宗教、艺术和文献交流的长期记录	Dunhuang preserves long records of cross-regional religious, artistic, and textual exchange	Mogao Caves	six_dynasties
china	southern_northern_dynasties	civilization	420	589	false	南北朝	Northern and Southern Dynasties	南北政权并立时期促进了制度、人口和文化的重新组合	The divided era encouraged new combinations of institutions, populations, and cultures	Northern and Southern dynasties	six_dynasties
china	sui_reunification	civilization	589	589	false	隋统一	Sui reunification	隋朝结束长期分裂并重建了统一帝国的行政框架	The Sui ended prolonged division and rebuilt a unified imperial administration	Sui dynasty	tang_song
china	grand_canal_sui	civilization	605	610	true	隋唐大运河开通	Sui Grand Canal works	大运河连接南北经济区域并影响了后世国家治理	The Grand Canal linked northern and southern economies and shaped later governance	Grand Canal China	tang_song
china	tang_dynasty	civilization	618	907	false	唐朝	Tang dynasty	唐代的政治、城市、贸易和文学艺术对东亚产生了广泛影响	Tang politics, cities, trade, literature, and arts influenced East Asia widely	Tang dynasty	tang_song
china	xuanzang_journey	civilization	629	645	false	玄奘西行	Xuanzang's journey west	玄奘往返印度并带回佛教经典，推动了翻译与知识交流	Xuanzang's journey to India and translations expanded Buddhist and intellectual exchange	Xuanzang	tang_song
china	tea_culture_tang	civilization	700	900	true	唐代茶文化	Tang tea culture	茶叶生产、消费和文字记录在唐代形成了重要文化传统	Tea production, consumption, and writing formed an important tradition in the Tang	Tea in China	tang_song
china	an_lushan_rebellion	modern	755	763	false	安史之乱	An Lushan rebellion	安史之乱重创唐朝政治秩序并改变了地方权力结构	The rebellion damaged Tang political order and changed the balance of regional power	An Lushan rebellion	tang_song
china	woodblock_printing_diamond_sutra	science	868	868	false	《金刚经》木刻本	Diamond Sutra woodblock edition	现存有明确年代的印刷品证明了唐代木刻印刷技术的成熟	A dated surviving print demonstrates the maturity of woodblock printing in the Tang	Diamond Sutra 868	tang_song
china	huang_chao_rebellion	modern	874	884	false	黄巢起义	Huang Chao rebellion	黄巢起义加速了晚唐政权解体和地方割据	The rebellion accelerated the breakdown of late Tang rule and regional fragmentation	Huang Chao rebellion	tang_song
china	five_dynasties_ten_kingdoms	civilization	907	960	false	五代十国	Five Dynasties and Ten Kingdoms	多政权并立时期延续了南北区域的制度和经济变化	The era of competing states continued institutional and economic changes across regions	Five Dynasties and Ten Kingdoms	tang_song
china	song_dynasty	civilization	960	1279	false	宋朝	Song dynasty	宋代城市、商业、教育和技术发展达到新的规模	Cities, commerce, education, and technology expanded on a new scale in the Song	Song dynasty	tang_song
china	bi_sheng_movable_type	science	1040	1040	true	毕昇活字印刷	Bi Sheng's movable type	毕昇活字印刷是中国早期活字技术的重要记录	Bi Sheng's movable type is an important record in the history of Chinese printing	Bi Sheng	tang_song
china	wujing_zongyao	science	1044	1044	false	《武经总要》记载火药	Wujing Zongyao and gunpowder	《武经总要》保存了宋代军事技术和火药配方的早期记载	The Wujing Zongyao preserves early Song records of military technology and gunpowder formulas	Wujing Zongyao	tang_song
china	shen_kuo_dream_pool	science	1088	1088	true	沈括《梦溪笔谈》	Shen Kuo's Dream Pool Essays	《梦溪笔谈》汇集了宋代自然观察、工程和技术知识	The Dream Pool Essays collect Song observations of nature, engineering, and technology	Dream Pool Essays	tang_song
china	compass_navigation_song	science	1100	1200	true	宋代指南针航海	Song compass navigation	指南针和航海记录显示了宋代海上交通技术的发展	Compasses and navigation records show the development of maritime technology in the Song	Compass history China	tang_song
china	southern_song	civilization	1127	1279	false	南宋	Southern Song	南宋以江南为中心延续了宋代的城市、商业和文化传统	Centered in the south, the Southern Song continued Song urban, commercial, and cultural traditions	Southern Song	tang_song
china	zhuxi_neo_confucianism	civilization	1130	1200	true	朱熹与理学	Zhu Xi and Neo-Confucianism	朱熹的注释与讲学成为宋元以后儒学传统的重要组成	Zhu Xi's commentaries and teaching shaped later Confucian traditions	Zhu Xi	tang_song
china	yuan_dynasty	civilization	1271	1368	false	元朝	Yuan dynasty	元代扩大了欧亚交通网络并重组了中国境内的行政体系	The Yuan expanded Eurasian connections and reorganized administration in China	Yuan dynasty	yuan_ming
china	yuan_paper_currency	science	1260	1350	true	元代纸币制度	Yuan paper currency	元代纸币是中国国家信用货币制度的重要历史案例	Yuan paper money is a major historical case of state-backed currency in China	Yuan dynasty paper money	yuan_ming
china	marco_polo_china	civilization	1271	1295	true	欧亚旅行记述元代中国	Eurasian travel accounts of Yuan China	旅行者记述反映了元代中国与欧亚世界的联系和观察	Travel accounts reflect connections and observations between Yuan China and Eurasia	Marco Polo China	yuan_ming
china	ming_dynasty	civilization	1368	1644	false	明朝	Ming dynasty	明代重建了汉地王朝秩序并发展了城市、贸易和文化生产	The Ming rebuilt a Chinese imperial order and expanded cities, trade, and cultural production	Ming dynasty	yuan_ming
china	forbidden_city	civilization	1406	1420	false	北京故宫营建	Construction of the Forbidden City	北京宫城建设体现了明代都城规划和宫廷制度	The palace complex reflects Ming capital planning and court institutions	Forbidden City	yuan_ming
china	zheng_he_voyages	civilization	1405	1433	false	郑和下西洋	Zheng He's voyages	郑和船队连接了东南亚、南亚、西亚和东非港口	Zheng He's fleets connected ports across Southeast Asia, South Asia, West Asia, and East Africa	Zheng He voyages	yuan_ming
china	yongle_encyclopedia	science	1408	1408	true	《永乐大典》编纂	Yongle Encyclopedia compilation	《永乐大典》体现了明代大型类书编纂与知识整理	The Yongle Encyclopedia exemplifies Ming large-scale compilation and knowledge organization	Yongle Encyclopedia	yuan_ming
china	wang_yangming_learning	civilization	1500	1530	true	王阳明心学	Wang Yangming's learning	王阳明思想成为明代思想史和东亚儒学的重要组成	Wang Yangming's thought became important in Ming intellectual history and East Asian Confucianism	Wang Yangming	yuan_ming
china	li_shizhen_compendium	science	1578	1578	true	李时珍《本草纲目》	Li Shizhen's Compendium of Materia Medica	《本草纲目》汇集并整理了明代以前的大量药物知识	The Compendium gathered and organized extensive earlier knowledge of medicines	Compendium of Materia Medica	yuan_ming
china	xu_guangqi_agriculture	science	1639	1639	true	徐光启《农政全书》	Xu Guangqi's agricultural encyclopedia	《农政全书》总结了传统农业知识并吸收了新的技术信息	The agricultural encyclopedia synthesized traditional knowledge and new technical information	Nongzheng Quanshu	yuan_ming
china	late_ming_transition	modern	1620	1644	true	明清鼎革	Ming-Qing transition	明末清初的政权更替改变了东亚政治格局和社会秩序	The transition reshaped political and social order in East Asia	Ming Qing transition	qing
china	qing_dynasty	civilization	1644	1912	false	清朝	Qing dynasty	清代疆域、人口、商业和多民族治理均发生显著变化	Qing territory, population, commerce, and multiethnic governance changed substantially	Qing dynasty	qing
china	kangxi_reign	civilization	1661	1722	false	康熙时期	Kangxi period	康熙时期见证了清代制度整合、学术活动与对外交流	The Kangxi period saw institutional integration, scholarship, and external exchange	Kangxi Emperor	qing
china	qing_taiwan_1683	modern	1683	1683	false	清统一台湾	Qing incorporation of Taiwan	清廷在台湾建立统治，东亚海域政治格局随之变化	Qing rule was established in Taiwan, changing the political balance of East Asian waters	Qing conquest of Taiwan	qing
china	four_encyclopedia	science	1773	1782	true	《四库全书》编纂	Siku Quanshu compilation	《四库全书》体现了清代国家组织大型知识整理工程	The Siku Quanshu reflects a state-organized Qing project of large-scale knowledge compilation	Siku Quanshu	qing
china	jesuit_science_exchange	science	1600	1750	true	中西科学交流	Sino-European scientific exchange	历法、测绘和数学交流成为明清知识史的一条重要线索	Calendar making, mapping, and mathematics formed an important line of intellectual exchange	Jesuit China missions	qing
china	opium_war	modern	1839	1842	false	第一次鸦片战争	First Opium War	战争及其后续条约开启了晚清对外关系和制度危机的新阶段	The war and its treaties opened a new phase of foreign relations and institutional crisis	First Opium War	late_qing
china	treaty_nanjing	modern	1842	1842	false	《南京条约》签订	Treaty of Nanking	《南京条约》改变了清朝对外贸易和主权安排	The treaty changed Qing trade relations and sovereignty arrangements	Treaty of Nanking	late_qing
china	taiping_rebellion	modern	1850	1864	false	太平天国运动	Taiping Rebellion	太平天国运动造成大范围战争并影响晚清政治重建	The rebellion caused widespread war and shaped late Qing political reconstruction	Taiping Rebellion	late_qing
china	self_strengthening	modern	1861	1895	true	洋务运动	Self-Strengthening Movement	洋务运动推动了军事、工业、教育和外交机构的近代化尝试	The movement pursued modernization in military, industry, education, and diplomacy	Self-Strengthening Movement	late_qing
china	first_sino_japanese_war	modern	1894	1895	false	甲午战争	First Sino-Japanese War	战争暴露出清朝制度和军事体系的深层问题	The war exposed deep problems in Qing institutions and military organization	First Sino-Japanese War	late_qing
china	hundred_days_reform	modern	1898	1898	false	戊戌变法	Hundred Days' Reform	改革尝试集中讨论了清末国家制度、教育和经济转型	The reform attempt focused on institutional, educational, and economic change	Hundred Days' Reform	late_qing
china	boxer_uprising	modern	1899	1901	false	义和团运动与八国联军	Boxer Uprising and intervention	事件加剧了清末社会冲突与国际压力	The events intensified social conflict and international pressure in the late Qing	Boxer Rebellion	late_qing
china	xinhai_revolution	modern	1911	1912	false	辛亥革命	Xinhai Revolution	革命结束帝制并开启共和政治实验	The revolution ended imperial rule and began an experiment in republican politics	Xinhai Revolution	republic
china	republic_founded	modern	1912	1912	false	中华民国成立	Republic of China founded	中华民国成立后，中国进入新的国家制度和政治竞争阶段	The founding began a new phase of state institutions and political competition	Republic of China	republic
china	may_fourth	modern	1919	1919	false	五四运动	May Fourth Movement	五四运动推动了学生动员、新文化讨论与民族国家议题	The movement advanced student mobilization, New Culture debates, and questions of nationhood	May Fourth Movement	republic
china	cpc_founded	modern	1921	1921	false	中国共产党成立	Chinese Communist Party founded	中国共产党成立成为中国现代政治史的重要组织节点	The founding became a major organizational milestone in modern Chinese political history	Chinese Communist Party	republic
china	northern_expedition	modern	1926	1928	false	北伐战争	Northern Expedition	北伐改变了主要城市和区域政权的分布	The expedition changed the distribution of power across major cities and regions	Northern Expedition China	republic
china	nanjing_decade	modern	1927	1937	false	南京十年	Nanjing decade	南京国民政府时期推进了国家建设，同时面临内外战争压力	The Nanjing government pursued state building amid internal and external war pressures	Nanjing decade China	republic
china	manchurian_incident	modern	1931	1931	false	九一八事变	Mukden Incident	事变导致东北局势变化并成为全面战争的重要前奏	The incident changed the situation in Manchuria and preceded wider war	Mukden Incident	republic
china	long_march	modern	1934	1935	false	长征	Long March	长征是中国革命史中的重要军事与组织迁移过程	The Long March was a major military and organizational movement in revolutionary history	Long March China	republic
china	second_sino_japanese_war	modern	1937	1945	false	全民族抗战	Second Sino-Japanese War	长期战争重塑了中国社会、经济、政治和国际关系	The prolonged war reshaped Chinese society, economy, politics, and international relations	Second Sino-Japanese War	republic
china	united_front	modern	1937	1945	false	抗日民族统一战线	Second United Front	不同政治力量在战争时期形成合作与竞争并存的格局	Different political forces combined cooperation and competition during wartime	Second United Front China	republic
china	prc_founded	modern	1949	1949	false	中华人民共和国成立	People's Republic of China founded	中华人民共和国成立后，中国进入新的国家建设与社会组织阶段	The founding began a new phase of state building and social organization	People's Republic of China	modern
china	land_reform_early_prc	modern	1950	1953	false	新中国早期土地改革	Early PRC land reform	土地改革改变了农村土地关系和基层社会结构	Land reform changed rural land relations and grassroots social structures	Land reform China 1950	modern
china	korean_war_china	modern	1950	1953	false	抗美援朝战争	China in the Korean War	战争影响了新中国早期的安全环境和国际关系	The war affected the early PRC security environment and international relations	Korean War China	modern
china	first_five_year_plan	modern	1953	1957	false	第一个五年计划	First Five-Year Plan	第一个五年计划推动了工业化和基础设施建设	The plan advanced industrialization and infrastructure construction	First Five-Year Plan China	modern
china	great_leap_forward	modern	1958	1962	false	大跃进时期	Great Leap Forward period	这一时期的经济与社会政策带来深刻影响，相关历史仍需依据多种资料理解	The period's economic and social policies had profound effects and require multiple sources for study	Great Leap Forward	modern
china	cultural_revolution	modern	1966	1976	false	文化大革命	Cultural Revolution	这场政治运动深刻影响了中国社会、教育和文化机构	The political movement deeply affected Chinese society, education, and cultural institutions	Cultural Revolution	modern
china	un_seat_restored	modern	1971	1971	false	中华人民共和国恢复联合国席位	PRC representation restored at the UN	中国在联合国的代表权恢复，外交环境随之变化	The restoration of representation changed China's diplomatic environment	China United Nations representation 1971	modern
china	reform_opening_1978	modern	1978	1978	false	改革开放起点	Beginning of Reform and Opening	改革开放政策开启了经济、社会和对外关系的长期调整	Reform and Opening began long-term changes in the economy, society, and foreign relations	Chinese economic reform	modern
china	shenzhen_sez	modern	1980	1980	false	深圳经济特区	Shenzhen Special Economic Zone	经济特区成为中国市场化改革和对外开放的重要试验	The special economic zone became an important experiment in market reform and opening	Shenzhen special economic zone	modern
china	chinese_space_program	science	1970	2022	true	中国航天工程	Chinese space program	从东方红一号到空间站建设，中国航天能力持续扩展	From Dong Fang Hong 1 to space-station construction, China's space capability expanded	Chinese space program	modern
china	hk_handover	modern	1997	1997	false	香港回归	Hong Kong handover	香港回归改变了中国与英国之间的主权安排	The handover changed the sovereignty arrangement between China and the United Kingdom	Hong Kong handover	modern
china	macao_handover	modern	1999	1999	false	澳门回归	Macau handover	澳门回归完成了另一项重要的主权移交	The handover completed another major sovereignty transfer	Macau handover	modern
china	wto_accession	modern	2001	2001	false	加入世界贸易组织	China joins the WTO	加入世贸组织推动了中国与全球贸易体系的进一步融合	Joining the WTO deepened China's integration with global trade systems	China WTO accession	modern
china	beidou_system	science	2000	2020	true	北斗卫星导航系统	BeiDou Navigation Satellite System	北斗系统建设体现了中国空间基础设施和导航服务的发展	BeiDou reflects the development of China's space infrastructure and navigation services	BeiDou Navigation Satellite System	modern
china	shenzhou5	science	2003	2003	false	神舟五号载人飞行	Shenzhou 5 crewed flight	神舟五号完成中国首次载人航天飞行	Shenzhou 5 completed China's first crewed spaceflight	Shenzhou 5	modern
china	three_gorges_completed	modern	2006	2006	false	三峡工程主体完工	Three Gorges project main works completed	三峡工程成为大型水利、能源和移民工程的代表性案例	The project became a representative case of large-scale water, energy, and resettlement works	Three Gorges Dam	modern
china	beijing_olympics	modern	2008	2008	false	北京奥运会	Beijing Olympics	北京奥运会体现了中国国际交流和城市基础设施的扩展	The Olympics reflected expanded international exchange and urban infrastructure in China	2008 Beijing Olympics	modern
china	high_speed_rail	modern	2008	2025	true	高速铁路网络扩展	Expansion of high-speed rail	高速铁路网络改变了中国城市间的交通与经济联系	The high-speed rail network changed travel and economic links among Chinese cities	China high-speed rail	modern
china	belt_road_initiative	modern	2013	2013	false	一带一路倡议	Belt and Road Initiative	倡议推动了中国与多个国家在基础设施和贸易领域的合作	The initiative promoted infrastructure and trade cooperation with many countries	Belt and Road Initiative	modern
china	change3	science	2013	2013	false	嫦娥三号登月	Chang'e 3 lunar landing	嫦娥三号实现中国月面软着陆与巡视探测	Chang'e 3 achieved China's first soft landing and rover exploration on the Moon	Chang'e 3	modern
china	change4	science	2019	2019	false	嫦娥四号月背着陆	Chang'e 4 far-side landing	嫦娥四号完成首次月球背面软着陆任务	Chang'e 4 completed the first soft landing on the far side of the Moon	Chang'e 4	modern
china	covid19_china	modern	2019	2023	true	新冠疫情在中国的公共卫生阶段	COVID-19 public-health period in China	疫情对中国公共卫生、社会生活和经济活动产生了广泛影响	The pandemic broadly affected public health, social life, and economic activity in China	COVID-19 pandemic China	modern
china	poverty_alleviation_2020	modern	2020	2020	false	脱贫攻坚目标完成	Completion of the poverty-alleviation target	中国政府宣布完成现行标准下农村贫困人口脱贫目标	The Chinese government announced completion of its rural poverty-alleviation target under the prevailing standard	China poverty alleviation 2020	modern
china	carbon_neutrality_goal	modern	2020	2060	true	碳达峰碳中和目标提出	Carbon-peak and neutrality goals	中国提出二氧化碳排放达峰与碳中和时间目标	China announced time targets for peaking carbon emissions and reaching carbon neutrality	China carbon neutrality goal	modern
china	tiangong_space_station	science	2022	2022	false	中国空间站全面建成	Tiangong space station completed	中国空间站完成组装并进入长期运行阶段	China's space station was assembled and entered long-term operation	Tiangong space station	modern
