key,flag,zh,en
"toolbox.crypto.veracrypt.cipher.kuznyechik_aes","ZH_NO_CJK+SAME_LONG","Kuznyechik-AES","Kuznyechik-AES"
"toolbox.crypto.veracrypt.cipher.kuznyechik_serpent_camellia","ZH_NO_CJK+SAME_LONG","Kuznyechik-Serpent-Camellia","Kuznyechik-Serpent-Camellia"
"toolbox.crypto.veracrypt.support.feature.kdf_primary","ZH_NO_CJK+SAME_LONG","PBKDF2 / Argon2id KDF","PBKDF2 / Argon2id KDF"
"toolbox.crypto.veracrypt.kdf.pbkdf2_all","ZH_NO_CJK+SAME_LONG","PBKDF2-SHA512 / SHA256 / Whirlpool / BLAKE2s / Streebog","PBKDF2-SHA512 / SHA256 / Whirlpool / BLAKE2s / Streebog"
"toolbox.sleep.rhythm.ok","ZH_NO_CJK","OK","OK"
"toolbox.breathing.bolt","ZH_NO_CJK","BOLT","BOLT"
"toolbox.crypto.asymmetric.algorithm.rsa_2048","ZH_NO_CJK","RSA-2048","RSA-2048"
"toolbox.crypto.asymmetric.algorithm.ec_p256","ZH_NO_CJK","ECC P-256","ECC P-256"
"toolbox.crypto.algorithm.aes_gcm","ZH_NO_CJK","AES-GCM","AES-GCM"
"toolbox.crypto.algorithm.chacha20_poly1305","ZH_NO_CJK+SAME_LONG","ChaCha20-Poly1305","ChaCha20-Poly1305"
"toolbox.crypto.algorithm.twofish_gcm","ZH_NO_CJK","Twofish-GCM","Twofish-GCM"
"toolbox.crypto.algorithm.camellia_gcm","ZH_NO_CJK+SAME_LONG","Camellia-GCM","Camellia-GCM"
"toolbox.crypto.algorithm.serpent_gcm","ZH_NO_CJK","Serpent-GCM","Serpent-GCM"
"toolbox.crypto.algorithm.kuznyechik_gcm","ZH_NO_CJK+SAME_LONG","Kuznyechik-GCM","Kuznyechik-GCM"
"toolbox.crypto.algorithm.full_five_cascade","ZH_NO_CJK+SAME_LONG","AES + Twofish + Camellia + Serpent + Kuznyechik","AES + Twofish + Camellia + Serpent + Kuznyechik"
"toolbox.crypto.mac.sha256","ZH_NO_CJK","SHA-256","SHA-256"
"toolbox.crypto.mac.whirlpool","ZH_NO_CJK","Whirlpool","Whirlpool"
"toolbox.crypto.signature.rsa_sha256","ZH_NO_CJK","RSA-SHA256","RSA-SHA256"
"toolbox.crypto.signature.ecdsa_sha256","ZH_NO_CJK+SAME_LONG","ECDSA-SHA256","ECDSA-SHA256"
"toolbox.crypto.common.sha256","ZH_NO_CJK","SHA-256","SHA-256"
"toolbox.crypto.content_media.selected_file","ZH_NO_CJK+SAME_LONG","{name} · {size}","{name} · {size}"
"toolbox.crypto.content_media.network_image_url_hint","ZH_NO_CJK+SAME_LONG","https://.../encrypted_media.png","https://.../encrypted_media.png"
"toolbox.crypto.content_media.image_min_512","ZH_NO_CJK","512 x 512","512 x 512"
"toolbox.crypto.content_media.image_min_1024","ZH_NO_CJK","1024 x 1024","1024 x 1024"
"toolbox.crypto.file.selected_source","ZH_NO_CJK","{name}，{size}","{name}, {size}"
"toolbox.crypto.common.key_file_entry","ZH_NO_CJK+SAME_LONG","{size} · SHA-256 {hash}","{size} · SHA-256 {hash}"
"toolbox.crypto.algorithm.aes_serpent_kuznyechik","ZH_NO_CJK+SAME_LONG","AES + Serpent + Kuznyechik","AES + Serpent + Kuznyechik"
"toolbox.crypto.signature.rsa","ZH_NO_CJK","RSA-SHA256","RSA-SHA256"
"toolbox.crypto.signature.ecdsa","ZH_NO_CJK+SAME_LONG","ECDSA-SHA256","ECDSA-SHA256"
"toolbox.crypto.hash.file_ready","ZH_NO_CJK+SAME_LONG","{name} · {size}","{name} · {size}"
"toolbox.crypto.hash.algorithm.md5","ZH_NO_CJK","MD5","MD5"
"toolbox.crypto.hash.algorithm.sha1","ZH_NO_CJK","SHA-1","SHA-1"
"toolbox.crypto.hash.algorithm.sha256","ZH_NO_CJK","SHA-256","SHA-256"
"toolbox.crypto.hash.algorithm.sha512","ZH_NO_CJK","SHA-512","SHA-512"
"toolbox.crypto.hash.algorithm.sha3_256","ZH_NO_CJK","SHA3-256","SHA3-256"
"toolbox.crypto.hash.algorithm.blake2b_256","ZH_NO_CJK","BLAKE2b-256","BLAKE2b-256"
"toolbox.crypto.hash.algorithm.whirlpool","ZH_NO_CJK","Whirlpool","Whirlpool"
"toolbox.crypto.hash.hex_label","ZH_NO_CJK","Hex","Hex"
"toolbox.crypto.hash.base64_label","ZH_NO_CJK","Base64","Base64"
"toolbox.crypto.hmac.title","ZH_NO_CJK","HMAC / MAC","HMAC / MAC"
"toolbox.crypto.hmac.hex_label","ZH_NO_CJK","Hex HMAC","Hex HMAC"
"toolbox.crypto.content_media.hub_chip_wav","ZH_NO_CJK","PCM WAV","PCM WAV"
"toolbox.crypto.otp.hub_chip_totp","ZH_NO_CJK","TOTP","TOTP"
"toolbox.crypto.otp.hub_chip_hotp","ZH_NO_CJK","HOTP","HOTP"
"toolbox.crypto.asymmetric.hub_chip_rsa","ZH_NO_CJK","RSA-2048","RSA-2048"
"toolbox.crypto.asymmetric.hub_chip_ecc","ZH_NO_CJK","ECC P-256","ECC P-256"
"toolbox.crypto.otp.mode_totp","ZH_NO_CJK","TOTP","TOTP"
"toolbox.crypto.otp.mode_hotp","ZH_NO_CJK","HOTP","HOTP"
"toolbox.crypto.password.entropy_value","ZH_NO_CJK","{bits} bits","{bits} bits"
"toolbox.crypto.hash.algorithm.sha3_512","ZH_NO_CJK","SHA3-512","SHA3-512"
"toolbox.crypto.hash.algorithm.blake2b_512","ZH_NO_CJK","BLAKE2b-512","BLAKE2b-512"
"inline.plan296.ui.pages.toolbox.crypto.security.toolbox.crypto.security.steganography.text.9286016a39","ZH_NO_CJK+SAME_LONG","{errorEn}: {p1}","{errorEn}: {p1}"
"toolbox.crypto.veracrypt.pim","ZH_NO_CJK","PIM","PIM"
"toolbox.crypto.veracrypt.selected_keyfile","ZH_NO_CJK","Keyfile：{name}","Keyfile: {name}"
"toolbox.crypto.veracrypt.header_unlock_kdf","ZH_NO_CJK","KDF","KDF"
"toolbox.crypto.veracrypt.fs.sha256","ZH_NO_CJK","SHA-256","SHA-256"
"inline.plan295.daily_choice.tool_titleen_category_titleen.ca8660c39c29","ZH_NO_CJK+SAME_LONG","{toolTitleEn} · {categoryTitleEn}","{toolTitleEn} · {categoryTitleEn}"
"inline.plan295.daily_choice.category_titleen_scene_titleen.9cb81855c227","ZH_NO_CJK+SAME_LONG","{categoryTitleEn} · {sceneTitleEn}","{categoryTitleEn} · {sceneTitleEn}"
"inline.plan295.daily_choice.what_to_do.f2157bc059ce","ZH_NO_CJK","What to do","What to do"
"daily_choice.place.map.provider.osm_hot.title","ZH_NO_CJK","OSM HOT","OSM HOT"
"daily_choice.place.map.provider.osm_france_fallback.title","ZH_NO_CJK","OSM France","OSM France"
"daily_choice.place.map.provider.osm_de.title","ZH_NO_CJK+SAME_LONG","OpenStreetMap.de","OpenStreetMap.de"
"daily_choice.place.map.provider.osm_standard.title","ZH_NO_CJK+SAME_LONG","OSM Standard","OSM Standard"
"daily_choice.place.map.provider.carto_voyager.title","ZH_NO_CJK+SAME_LONG","CARTO Voyager","CARTO Voyager"
"daily_choice.place.map.provider.carto_light.title","ZH_NO_CJK","CARTO Light","CARTO Light"
"toolbox.free_chimes.metric.tempo","ZH_NO_CJK","BPM","BPM"
"inline.plan297.human_tests.auditory.stimulus.degrees","ZH_NO_CJK","{p0}°","{p0}°"
"inline.plan296.ui.pages.toolbox.human.tests.cognition.goal_total_luck_score_is_expectation.0f68e11d26","ZH_NO_CJK+SAME_LONG","{summary}
Goal: {goalText}. Total luck score is {p4} expectation by {p3}.","{summary}
Goal: {goalText}. Total luck score is {p4} expectation by {p3}."
"platform.linux.cmakelists.txt.release_82546b","ZH_NO_CJK","Release","Release"
"toolbox.life.archive_tool.format_zip","ZH_NO_CJK","ZIP","ZIP"
"toolbox.life.archive_tool.format_tar","ZH_NO_CJK","TAR","TAR"
"toolbox.life.archive_tool.format_tar_gzip","ZH_NO_CJK","TAR.GZ","TAR.GZ"
"toolbox.life.archive_tool.format_tar_bzip2","ZH_NO_CJK","TAR.BZ2","TAR.BZ2"
"toolbox.life.archive_tool.format_tar_xz","ZH_NO_CJK","TAR.XZ","TAR.XZ"
"toolbox.life.archive_tool.format_gzip","ZH_NO_CJK","GZip","GZip"
"toolbox.life.archive_tool.format_bzip2","ZH_NO_CJK","BZip2","BZip2"
"toolbox.life.archive_tool.format_xz","ZH_NO_CJK","XZ","XZ"
"toolbox.life.archive_tool.algorithm_deflate","ZH_NO_CJK","Deflate","Deflate"
"toolbox.life.archive_tool.algorithm_bzip2","ZH_NO_CJK","BZip2","BZip2"
"toolbox.life.advanced_calculator.result_determinant","ZH_NO_CJK+SAME_LONG","det(A) = {value}","det(A) = {value}"
"toolbox.life.advanced_calculator.result_inverse","ZH_NO_CJK+SAME_LONG","A⁻¹ =
{value}","A⁻¹ =
{value}"
"toolbox.life.advanced_calculator.prob_n","ZH_NO_CJK","n","n"
"toolbox.life.advanced_calculator.prob_k","ZH_NO_CJK","k","k"
"toolbox.life.gif_maker.fps_value","ZH_NO_CJK","{fps} fps","{fps} fps"
"toolbox.life.gif_maker.pixels","ZH_NO_CJK","{px} px","{px} px"
"toolbox.life.gif_maker.quality_value","ZH_NO_CJK","{quality}%","{quality}%"
"inline.plan296.ui.pages.toolbox.life.tools.toolbox.life.tools.image.compress.x.ef519271df","ZH_NO_CJK+SAME_LONG","{_sourceWidth}x{_sourceHeight} · {p2}","{_sourceWidth}x{_sourceHeight} · {p2}"
"toolbox.life.light_meter.lux","ZH_NO_CJK","lux","lux"
"life.offer_select.copy.joiner","ZH_NO_CJK","、",", "
"inline.plan296.ui.pages.toolbox.life.tools.toolbox.life.tools.qr.text.1d74c2fc23","ZH_NO_CJK+SAME_LONG","{label} · {p1}","{label} · {p1}"
"inline.plan296.ui.pages.toolbox.life.tools.toolbox.life.tools.qr.qr_v.33a7886cc0","ZH_NO_CJK+SAME_LONG","QR V{p0} · {label} · {p2}","QR V{p0} · {label} · {p2}"
"toolbox.life.speedometer.kmh","ZH_NO_CJK","km/h","km/h"
"toolbox.life.speedometer.metric_ms","ZH_NO_CJK","m/s","m/s"
"toolbox.life.timeline.brief24.brief24_002_deb83f4c49.detail","EN_HAS_CJK","史记：五帝世系，时段为 前2500-前2034。主要内容：（前2500—前2034）*；黄帝；玄嚣；昌意；额项；穷蝉；骆明；极；帝；敬康；帝尧；句望；桥牛；叟；帝舜；伯；夏禹；※五帝世系、年代无定说，此为一家之说，仅供参考。","史记：五帝世系; span 前2500-前2034. Main contents: （前2500—前2034）*；黄帝；玄嚣；昌意；额项；穷蝉；骆明；极；帝；敬康；帝尧；句望；桥牛；叟；帝舜；伯；夏禹；※五帝世系、年代无定说，此为一家之说，仅供参考."
"toolbox.life.timeline.brief24.brief24_003_1e542f8599.detail","EN_HAS_CJK","史记：夏王世系，时段为 前2033-前1562。主要内容：（姒姓，前2033一前1562）*；禹(文命)；（前2033—前1989）；启；（前1988—前1979）；太康；（前1978—前1950）；仲康；（前1949—前1937）；相；（前1936—前1909）；少康；（前1968—前1948）※※；予；（前1847—前1831）；槐；（前1830—前1805）；芒（荒）。","史记：夏王世系; span 前2033-前1562. Main contents: （姒姓，前2033一前1562）*；禹(文命)；（前2033—前1989）；启；（前1988—前1979）；太康；（前1978—前1950）；仲康；（前1949—前1937）；相；（前1936—前1909）；少康；（前1968—前1948）※※；予；（前1847—前1831）；槐；（前1830—前1805）；芒（荒）."
"toolbox.life.timeline.brief24.brief24_004_06faa253be.detail","EN_HAS_CJK","史记：商王世系，时段为 前1562-前1066。主要内容：（子姓，前1562—前1066）*；汤（天乙）；（前1579—前1551）；太丁；外丙；1（前1550—前1549）；仲壬；（前1548—前1545）；太甲；（前1544—前1533）；沃丁；（前1532—前1514）；太庚；（前1513—前1509）；小甲；（前1508—前1492）；雍己；（前1491—前1480）。","史记：商王世系; span 前1562-前1066. Main contents: （子姓，前1562—前1066）*；汤（天乙）；（前1579—前1551）；太丁；外丙；1（前1550—前1549）；仲壬；（前1548—前1545）；太甲；（前1544—前1533）；沃丁；（前1532—前1514）；太庚；（前1513—前1509）；小甲；（前1508—前1492）；雍己；（前1491—前1480）."
"toolbox.life.timeline.brief24.brief24_005_5c014495d8.detail","EN_HAS_CJK","史记：周王世系，时段为 前1066-前256。主要内容：（姬姓，前1066—前256。西周，前1066—前771；东周，前770—前256）*；昌；武王发；（前1069一前1064）；成王诵；（前1063—前1027）；康王钊；（前1026一前1001）；昭王瑕；（前1000—前977）；穆王满；（前976—前922；共王繁扈；（前921—前910）；懿王艰；（前909—前885）；孝王辟方；（前884—前870）。","史记：周王世系; span 前1066-前256. Main contents: （姬姓，前1066—前256。西周，前1066—前771；东周，前770—前256）*；昌；武王发；（前1069一前1064）；成王诵；（前1063—前1027）；康王钊；（前1026一前1001）；昭王瑕；（前1000—前977）；穆王满；（前976—前922；共王繁扈；（前921—前910）；懿王艰；（前909—前885）；孝王辟方；（前884—前870）."
"toolbox.life.timeline.brief24.brief24_006_788958f3df.detail","EN_HAS_CJK","史记：夏商周断代工程阶段成果·夏商周年表，时段为 前2070-前256。主要内容：朝代；年代(公元前)；年数；王；禹；启；太康；仲康；相；少康；夏；予；槐；芒；泄；不降；扁；厘。","史记：夏商周断代工程阶段成果·夏商周年表; span 前2070-前256. Main contents: 朝代；年代(公元前)；年数；王；禹；启；太康；仲康；相；少康；夏；予；槐；芒；泄；不降；扁；厘."
"toolbox.life.timeline.brief24.brief24_007_5aa07a250c.detail","EN_HAS_CJK","史记：春秋战国君主世系，时段为 前770-前221。主要内容：（前770—前221）；鲁君世系；（姬姓，前768一前249）；惠公；（前768—前723）；隐公息姑；（前722—前712）；桓公允；（前711—前694）；庄公同；（前693—前662）；闵公启方；■（前661—前660）；公申；（前659—前627）；文公兴；（前626—前609；宣公傻。","史记：春秋战国君主世系; span 前770-前221. Main contents: （前770—前221）；鲁君世系；（姬姓，前768一前249）；惠公；（前768—前723）；隐公息姑；（前722—前712）；桓公允；（前711—前694）；庄公同；（前693—前662）；闵公启方；■（前661—前660）；公申；（前659—前627）；文公兴；（前626—前609；宣公傻."
"toolbox.life.timeline.brief24.brief24_008_48e630ab9c.detail","EN_HAS_CJK","史记：秦帝系，时段为 前221-前206。主要内容：（赢姓，前221一前206）；庄襄王子楚；始皇帝政；（前246—前210）；二世皇帝胡亥；（前209一前207）；王子婴；（前206）※；※秦王子婴在位仅四十六日，降刘邦时为十月，秦以十月为岁首，故标为前206年。","史记：秦帝系; span 前221-前206. Main contents: （赢姓，前221一前206）；庄襄王子楚；始皇帝政；（前246—前210）；二世皇帝胡亥；（前209一前207）；王子婴；（前206）※；※秦王子婴在位仅四十六日，降刘邦时为十月，秦以十月为岁首，故标为前206年."
"toolbox.life.timeline.brief24.brief24_012_c6d3d5e9b7.detail","EN_HAS_CJK","汉书：西汉帝系，时段为 前202-8。主要内容：高祖刘邦；（前206—前195）；惠帝刘盈；（前194—前188）；高后吕雉；（前187—前180）；（少帝刘恭、少帝刘弘）；文帝刘恒；（前179—前157）；景帝刘启；（前156—前141）；武帝刘彻；（前140—前87）；戾太子刘据；昌邑王刘；昭帝刘弗陵；（前86—前74）；昌邑王刘贺（废帝）。","汉书：西汉帝系; span 前202-8. Main contents: 高祖刘邦；（前206—前195）；惠帝刘盈；（前194—前188）；高后吕雉；（前187—前180）；（少帝刘恭、少帝刘弘）；文帝刘恒；（前179—前157）；景帝刘启；（前156—前141）；武帝刘彻；（前140—前87）；戾太子刘据；昌邑王刘；昭帝刘弗陵；（前86—前74）；昌邑王刘贺（废帝）."
"toolbox.life.timeline.brief24.brief24_013_3e97b3d9b9.display","ZH_NO_CJK","25-220","AD 25–220"
"toolbox.life.timeline.brief24.brief24_013_3e97b3d9b9.detail","EN_HAS_CJK","后汉书：东汉帝系，时段为 25-220。主要内容：光武帝刘秀；明帝刘庄；章帝刘烂；和帝刘肇；殇帝刘隆；刘庆；安帝刘祜；顺帝刘保；冲帝刘炳；刘伉；刘宠；刘鸿；质帝刘；刘开；刘翼；桓帝刘志；刘淑；刘。","后汉书：东汉帝系; span 25-220. Main contents: 光武帝刘秀；明帝刘庄；章帝刘烂；和帝刘肇；殇帝刘隆；刘庆；安帝刘祜；顺帝刘保；冲帝刘炳；刘伉；刘宠；刘鸿；质帝刘；刘开；刘翼；桓帝刘志；刘淑；刘."
"toolbox.life.timeline.brief24.brief24_014_a79a7f1b61.display","ZH_NO_CJK","220-265","AD 220–265"
"toolbox.life.timeline.brief24.brief24_014_a79a7f1b61.detail","EN_HAS_CJK","三国志：曹魏帝系，时段为 220-265。主要内容：武帝曹操；文帝曹不；燕王曹宇；明帝曹；东海王曹霖；废帝（齐王）曹芳；废帝（高贵乡公）曹髦；元帝曹负。","三国志：曹魏帝系; span 220-265. Main contents: 武帝曹操；文帝曹不；燕王曹宇；明帝曹；东海王曹霖；废帝（齐王）曹芳；废帝（高贵乡公）曹髦；元帝曹负."
"toolbox.life.timeline.brief24.brief24_015_577003fe77.display","ZH_NO_CJK","221-263","AD 221–263"
"toolbox.life.timeline.brief24.brief24_015_577003fe77.detail","EN_HAS_CJK","三国志：蜀汉帝系，时段为 221-263。主要内容：昭烈帝刘备；后主刘禅。","三国志：蜀汉帝系; span 221-263. Main contents: 昭烈帝刘备；后主刘禅."
"toolbox.life.timeline.brief24.brief24_016_4906eee1bd.display","ZH_NO_CJK","229-280","AD 229–280"
"toolbox.life.timeline.brief24.brief24_016_4906eee1bd.detail","EN_HAS_CJK","三国志：孙吴帝系，时段为 229-280。主要内容：大帝 孙权；废帝（会稽王）孙亮；景帝 孙休；南阳王 孙和；末帝 孙皓；三国时期中心区域图；作；乐；拓；乌；侯；跋；东；部；鲜；卑；秦；凉。","三国志：孙吴帝系; span 229-280. Main contents: 大帝 孙权；废帝（会稽王）孙亮；景帝 孙休；南阳王 孙和；末帝 孙皓；三国时期中心区域图；作；乐；拓；乌；侯；跋；东；部；鲜；卑；秦；凉."
"toolbox.life.timeline.brief24.brief24_017_3670a318f1.display","ZH_NO_CJK","265-317","AD 265–317"
"toolbox.life.timeline.brief24.brief24_017_3670a318f1.detail","EN_HAS_CJK","西晋书　东晋书：西晋帝系，时段为 265-317。主要内容：宣帝司马懿；景帝司马师；文帝司马昭；武帝司马炎；惠帝司马衷；怀帝司马炽；吴王司马晏；帝司马邺。","西晋书　东晋书：西晋帝系; span 265-317. Main contents: 宣帝司马懿；景帝司马师；文帝司马昭；武帝司马炎；惠帝司马衷；怀帝司马炽；吴王司马晏；帝司马邺."
"toolbox.life.timeline.brief24.brief24_019_6a058ca7e6.display","ZH_NO_CJK","317-420","AD 317–420"
"toolbox.life.timeline.brief24.brief24_019_6a058ca7e6.detail","EN_HAS_CJK","西晋书　东晋书：东晋帝系，时段为 317-420。主要内容：宣帝司马懿；琅邪王司马；琅邪王司马觐；元帝司马睿；明帝司马绍；成帝司马衍；康帝司马岳；穆帝司马；哀帝司马不；废帝司马奕；简文帝司马昱；孝武帝司马曜；安帝司马德宗；恭帝司马德文。","西晋书　东晋书：东晋帝系; span 317-420. Main contents: 宣帝司马懿；琅邪王司马；琅邪王司马觐；元帝司马睿；明帝司马绍；成帝司马衍；康帝司马岳；穆帝司马；哀帝司马不；废帝司马奕；简文帝司马昱；孝武帝司马曜；安帝司马德宗；恭帝司马德文."
"toolbox.life.timeline.brief24.brief24_020_67d7f6bceb.display","ZH_NO_CJK","304-439","AD 304–439"
"toolbox.life.timeline.brief24.brief24_020_67d7f6bceb.detail","EN_HAS_CJK","西晋书　东晋书：十六国兴亡，时段为 304-439。主要内容：统治；灭于；国名；创建者；民族；都城；统治地区；时间；何国；成都(今属四；今四川东部、云；西；成汉；李雄；巴氏；东晋；川)；晋末。","西晋书　东晋书：十六国兴亡; span 304-439. Main contents: 统治；灭于；国名；创建者；民族；都城；统治地区；时间；何国；成都(今属四；今四川东部、云；西；成汉；李雄；巴氏；东晋；川)；晋末."
"toolbox.life.timeline.brief24.brief24_021_ea53f421b3.display","ZH_NO_CJK","420-479","AD 420–479"
"toolbox.life.timeline.brief24.brief24_021_ea53f421b3.detail","EN_HAS_CJK","宋书　南齐书　梁书　陈书：南朝宋帝系，时段为 420-479。主要内容：武帝刘裕；少帝刘义符；文帝刘义隆；太子刘劭；孝武帝刘骏；前废帝刘子业；明帝刘或；后废帝刘昱；顺帝刘准。","宋书　南齐书　梁书　陈书：南朝宋帝系; span 420-479. Main contents: 武帝刘裕；少帝刘义符；文帝刘义隆；太子刘劭；孝武帝刘骏；前废帝刘子业；明帝刘或；后废帝刘昱；顺帝刘准."
"toolbox.life.timeline.brief24.brief24_022_3a7515cdf7.display","ZH_NO_CJK","479-502","AD 479–502"
"toolbox.life.timeline.brief24.brief24_022_3a7515cdf7.detail","EN_HAS_CJK","宋书　南齐书　梁书　陈书：南朝齐帝系，时段为 479-502。主要内容：高帝萧道成；武帝萧；文惠太子长懋；郁林王萧昭业；海陵王萧昭文；始安贞工道生；明帝萧鸾；东昏侯萧宝卷；和帝萧宝融。","宋书　南齐书　梁书　陈书：南朝齐帝系; span 479-502. Main contents: 高帝萧道成；武帝萧；文惠太子长懋；郁林王萧昭业；海陵王萧昭文；始安贞工道生；明帝萧鸾；东昏侯萧宝卷；和帝萧宝融."
"toolbox.life.timeline.brief24.brief24_023_42e9ec0f21.display","ZH_NO_CJK","502-557","AD 502–557"
"toolbox.life.timeline.brief24.brief24_023_42e9ec0f21.detail","EN_HAS_CJK","宋书　南齐书　梁书　陈书：南朝梁帝系，时段为 502-557。主要内容：武帝萧衍；简文帝萧纲；豫章王萧栋；元帝萧绎；长沙王萧懿；贞阳侯萧渊明；敬帝萧方智。","宋书　南齐书　梁书　陈书：南朝梁帝系; span 502-557. Main contents: 武帝萧衍；简文帝萧纲；豫章王萧栋；元帝萧绎；长沙王萧懿；贞阳侯萧渊明；敬帝萧方智."
"toolbox.life.timeline.brief24.brief24_024_becc944e7d.display","ZH_NO_CJK","555-587","AD 555–587"
"toolbox.life.timeline.brief24.brief24_024_becc944e7d.detail","EN_HAS_CJK","宋书　南齐书　梁书　陈书：南朝后梁帝系，时段为 555-587。主要内容：萧衍；萧统；宣帝萧警；明帝萧；后主萧琮。","宋书　南齐书　梁书　陈书：南朝后梁帝系; span 555-587. Main contents: 萧衍；萧统；宣帝萧警；明帝萧；后主萧琮."
"toolbox.life.timeline.brief24.brief24_025_668f2a4c41.display","ZH_NO_CJK","557-589","AD 557–589"
"toolbox.life.timeline.brief24.brief24_025_668f2a4c41.detail","EN_HAS_CJK","宋书　南齐书　梁书　陈书：南朝陈帝系，时段为 557-589。主要内容：武帝陈霸先；始兴王陈道谭；文帝陈；废帝陈伯宗；宣帝陈项；后主陈叔宝；元；失；宋魏时期中心区域图；完；乌；水；难；高；车；（敕；勒）；洛。","宋书　南齐书　梁书　陈书：南朝陈帝系; span 557-589. Main contents: 武帝陈霸先；始兴王陈道谭；文帝陈；废帝陈伯宗；宣帝陈项；后主陈叔宝；元；失；宋魏时期中心区域图；完；乌；水；难；高；车；（敕；勒）；洛."
"toolbox.life.timeline.brief24.brief24_026_6666ddc31a.display","ZH_NO_CJK","386-534","AD 386–534"
"toolbox.life.timeline.brief24.brief24_026_6666ddc31a.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：北魏帝系，时段为 386-534。主要内容：道武帝拓跋；明元帝拓跋嗣；太武帝拓跋焘；景穆太子拓跋晃；文成帝拓跋溶；南安王拓跋桢；献文帝拓跋弘；元怡；章武王元彬；彭城王元；广陵王元羽；孝文帝元宏；宣武帝元恪；广平王元怀；章武王元融；孝明帝元翊；孝庄帝元子攸；长广王元哗。","魏书　北齐书　周书　隋书：北魏帝系; span 386-534. Main contents: 道武帝拓跋；明元帝拓跋嗣；太武帝拓跋焘；景穆太子拓跋晃；文成帝拓跋溶；南安王拓跋桢；献文帝拓跋弘；元怡；章武王元彬；彭城王元；广陵王元羽；孝文帝元宏；宣武帝元恪；广平王元怀；章武王元融；孝明帝元翊；孝庄帝元子攸；长广王元哗."
"toolbox.life.timeline.brief24.brief24_027_081f637bec.display","ZH_NO_CJK","534-550","AD 534–550"
"toolbox.life.timeline.brief24.brief24_027_081f637bec.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：东魏帝系，时段为 534-550。主要内容：北魏孝文帝元宏；孝静帝元善见。","魏书　北齐书　周书　隋书：东魏帝系; span 534-550. Main contents: 北魏孝文帝元宏；孝静帝元善见."
"toolbox.life.timeline.brief24.brief24_028_dfbe86910b.display","ZH_NO_CJK","535-557","AD 535–557"
"toolbox.life.timeline.brief24.brief24_028_dfbe86910b.detail","EN_HAS_CJK","魏书　北齐书　周书　隋书：西魏帝系，时段为 535-557。主要内容：北魏孝文帝元宏；文帝元宝炬；废帝元钦；恭帝元廓。","魏书　北齐书　周书　隋书：西魏帝系; span 535-557. Main contents: 北魏孝文帝元宏；文帝元宝炬；废帝元钦；恭帝元廓."
"toolbox.life.timeline.brief24.brief24_029_017c58f3c8.display","ZH_NO_CJK","550-577","AD 550–577"
